2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#Y
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/health-topics/#Z
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/fact-sheets
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/facts-in-pictures
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/multimedia
2024-11-30 22:46:33 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/podcasts
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/publications
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/questions-and-answers
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/resources/tools-and-toolkits
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/dengue
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/endometriosis
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/excessive-heat
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/herpes
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/mental-disorders
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/health-topics/popular/mpox
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/mega-menu/countries
2024-11-30 22:46:34 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#A
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#B
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#C
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#D
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#E
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#F
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#G
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#H
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#I
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#J
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#K
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#L
2024-11-30 22:46:35 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#M
2024-11-30 22:46:36 [main] INFO  com.webcrawler.CustomGraphDatabase - Link saved successfully: From=https://www.who.int/, To=https://www.who.int/countries/#N
